Athlete,START_DATE,MEET_TITLE,Round,Dive,Shape,height,DD,J1,J2,J3,J4,J5,J6,J7,Total,Points,Direction,Direction name,Dive_code
Laura,2014-10-17T00:00:00Z,2014 Pullar Family Championship,3,5253,B,10,3.2,5.5,6.5,5.5,6,4.5,6,6.5,17.5,56,52,Backward Twist,5253B
Laura,2014-10-17T00:00:00Z,2014 Pullar Family Championship,2,6243,D,10,3.2,4.5,6,4.5,5.5,5.5,4.5,5.5,15.5,49.6,62,Armstand backward,6243D
Laura,2014-10-17T00:00:00Z,2014 Pullar Family Championship,1,107,B,10,3,3.5,4,3,5,4.5,4,4.5,12.5,37.5,10,Forwards,107B
Laura,2014-10-17T00:00:00Z,2014 Pullar Family Championship,1,107,B,10,3,3,3,2.5,3.5,3.5,3.5,2,9.5,28.5,10,Forwards,107B
Laura,2014-10-17T00:00:00Z,2014 Pullar Family Championship,2,6243,D,10,3.2,4.5,4.5,5,5,4,4.5,4.5,13.5,43.2,62,Armstand backward,6243D
Laura,2014-10-17T00:00:00Z,2014 Pullar Family Championship,3,5253,B,10,3.2,5,5.5,5.5,5,5.5,5.5,5,16,51.2,52,Backward Twist,5253B
Laura,2014-11-01T00:00:00Z,SA State Open &amp; Synchro Championships,2,6243,D,10,3.2,5.5,6,6.5,6.5,5.5,0,0,18,57.6,62,Armstand backward,6243D
Laura,2014-11-01T00:00:00Z,SA State Open &amp; Synchro Championships,3,5253,B,10,3.2,6,6,6.5,6,6.5,0,0,18.5,59.2,52,Backward Twist,5253B
Laura,2014-11-01T00:00:00Z,SA State Open &amp; Synchro Championships,2,6243,D,10,3.2,5,5,6,5.5,6,0,0,16.5,52.8,62,Armstand backward,6243D
Laura,2014-11-01T00:00:00Z,SA State Open &amp; Synchro Championships,3,5253,B,10,3.2,5.5,6,6,5.5,6,0,0,17.5,56,52,Backward Twist,5253B
Laura,2014-11-14T00:00:00Z,2014 Victorian Open Championships,2,6243,D,10,3.2,6,5.5,6,5.5,6,5,5.5,17,54.4,62,Armstand backward,6243D
Laura,2014-11-14T00:00:00Z,2014 Victorian Open Championships,3,5253,B,10,3.2,6,6.5,7,6.5,6.5,6,5.5,19,60.8,52,Backward Twist,5253B
Laura,2014-11-14T00:00:00Z,2014 Victorian Open Championships,3,5253,B,10,3.2,4.5,3.5,4.5,4,5.5,5,4.5,13.5,43.2,52,Backward Twist,5253B
Laura,2014-11-14T00:00:00Z,2014 Victorian Open Championships,2,6243,D,10,3.2,3.5,4,4,3.5,4,4,5.5,12,38.4,62,Armstand backward,6243D
Laura,2014-11-29T00:00:00Z,14-15 Victorian Pennant Series Week 3,3,5253,B,10,3.2,6.5,7,5.5,6,6.5,0,0,19,60.8,52,Backward Twist,5253B
